group,symbol,name,entry_date,entry_price,exit_date,exit_price,exit_signal,exit_category,shares,pnl,pnl_pct,holding_days
医药创新型,300347,泰格医药,2026-01-08,60.786,2026-03-03,56.72,"ATR移动止盈 (最高66.41, 回撤-14.6%, 盈利-6.7%)",止损,2400,-9965.22,-6.83,54
医药创新型,300347,泰格医药,2026-07-16,50.905,2026-08-05,50.77,回撤保护降仓,回撤保护降仓,600,-119.13,-0.39,20
机械制造型,600875,东方电气,2026-01-08,24.912,2026-03-03,34.51,"ATR移动止盈 (最高36.79, 回撤-6.2%, 盈利38.5%)",止损,6000,57288.86,38.33,54
机械制造型,000977,浪潮信息,2026-01-13,71.087,2026-01-20,64.48,"ATR硬止损 (-9.3%, ATR=2.33)",止损,2900,-19445.89,-9.43,7
机械制造型,002843,泰嘉股份,2026-01-13,21.762,2026-01-28,18.56,"安全网硬止损 (-14.7%, 保本底线)",止损,1400,-4523.14,-14.85,15
机械制造型,600406,国电南瑞,2026-01-14,23.922,2026-03-23,26.54,"ATR移动止盈 (最高30.88, 回撤-14.1%, 盈利10.9%)",止损,1600,4125.52,10.78,68
机械制造型,000938,紫光股份,2026-01-15,26.833,2026-01-30,24.96,"ATR硬止损 (-7.0%, ATR=0.63)",止损,1700,-3248.0,-7.12,15
机械制造型,002843,泰嘉股份,2026-02-24,20.652,2026-03-23,22.11,"ATR移动止盈 (最高28.99, 回撤-23.7%, 盈利7.1%)",止损,11400,16246.53,6.9,27
机械制造型,000977,浪潮信息,2026-04-16,68.387,2026-05-28,64.294,强卖出 score=-25.5,信号退出,4600,-19277.37,-6.13,42
机械制造型,000938,紫光股份,2026-04-23,30.443,2026-06-02,28.217,强卖出 score=-9.9,信号退出,3800,-8621.24,-7.45,40
机械制造型,600875,东方电气,2026-04-24,43.214,2026-05-08,37.0,"安全网硬止损 (-14.4%, 保本底线)",止损,900,-5644.24,-14.51,14
机械制造型,002843,泰嘉股份,2026-05-07,27.923,2026-05-27,23.44,"安全网硬止损 (-16.1%, 保本底线)",止损,1300,-5874.79,-16.18,20
机械制造型,000977,浪潮信息,2026-07-14,88.009,2026-07-17,77.4,"安全网硬止损 (-12.1%, 保本底线)",止损,2200,-23600.61,-12.19,3
机械制造型,000938,紫光股份,2026-07-21,37.704,2026-08-03,33.1,"安全网硬止损 (-12.2%, 保本底线)",止损,4000,-18618.28,-12.35,13
消费稳健型,603288,海天味业,2026-01-07,37.194,2026-01-16,35.87,"ATR硬止损 (-3.6%, ATR=0.47)",止损,4000,-5511.42,-3.7,9
消费稳健型,300673,佩蒂股份,2026-01-09,18.392,2026-01-29,17.11,"ATR硬止损 (-7.0%, ATR=0.56)",止损,11500,-15039.98,-7.11,20
消费稳健型,603288,海天味业,2026-02-06,36.754,2026-02-12,35.13,"ATR硬止损 (-4.4%, ATR=0.72)",止损,7900,-13246.53,-4.56,6
消费稳健型,002507,涪陵榨菜,2026-02-09,13.161,2026-03-04,12.63,"ATR硬止损 (-4.0%, ATR=0.22)",止损,15700,-8641.18,-4.18,23
消费稳健型,603288,海天味业,2026-04-15,39.664,2026-04-30,37.77,"ATR硬止损 (-4.8%, ATR=0.91)",止损,7200,-14047.88,-4.92,15
消费稳健型,600887,伊利股份,2026-04-30,26.573,2026-05-22,25.31,"ATR硬止损 (-4.8%, ATR=0.46)",止损,8800,-11448.25,-4.9,22
消费稳健型,600887,伊利股份,2026-07-17,26.153,2026-08-05,26.37,回撤保护降仓,回撤保护降仓,2600,479.5,0.71,19
消费稳健型,603288,海天味业,2026-07-17,36.104,2026-08-05,36.97,回撤保护降仓,回撤保护降仓,800,656.14,2.27,19
