序号,股票代码,股票名称,入场日期,出场日期,持仓天数,入场价,出场价,股数,仓位占比%,盈亏金额,收益率%,出场方式,出场详情
1,600887,伊利股份,2025-12-18,2026-01-08,21,28.85,27.26,400,11.5,-647.0,-5.5,硬止损,"ATR硬止损 (-5.5%, ATR=0.42)"
2,000725,京东方A,2025-12-05,2026-01-16,42,4.05,4.46,3300,13.4,1342.0,10.1,移动止盈,"ATR移动止盈 (最高4.60, 回撤-3.0%, 盈利10.1%)"
3,600346,恒力石化,2025-12-02,2026-01-27,56,18.89,25.33,800,15.1,5140.0,34.1,移动止盈,"ATR移动止盈 (最高26.30, 回撤-3.7%, 盈利34.1%)"
4,002843,泰嘉股份,2025-12-29,2026-01-27,29,21.0,20.19,100,2.1,-91.0,-3.9,移动止盈,"ATR移动止盈 (最高22.20, 回撤-9.1%, 盈利-3.9%)"
5,002272,川瑞股份,2026-01-06,2026-01-28,22,16.79,15.14,100,1.7,-175.0,-9.8,信号卖出,强卖出 score=-35.7
6,002138,顺络电子,2025-12-25,2026-02-02,39,36.04,36.15,100,3.6,1.0,0.3,移动止盈,"ATR移动止盈 (最高39.21, 回撤-7.8%, 盈利0.3%)"
7,002648,卫星化学,2026-01-06,2026-02-02,27,17.77,21.92,200,3.6,820.0,23.3,移动止盈,"ATR移动止盈 (最高24.36, 回撤-10.0%, 盈利23.3%)"
8,600522,中天科技,2026-01-06,2026-02-05,30,18.35,20.86,100,1.8,241.0,13.7,移动止盈,"ATR移动止盈 (最高22.50, 回撤-7.3%, 盈利13.7%)"
9,300450,先导智能,2026-01-20,2026-02-11,22,60.7,55.35,300,18.2,-1614.0,-8.8,移动止盈,"ATR移动止盈 (最高63.15, 回撤-12.4%, 盈利-8.8%)"
10,000725,京东方A,2026-01-27,2026-02-12,16,4.47,4.23,5500,24.6,-1334.0,-5.4,移动止盈,"ATR移动止盈 (最高4.53, 回撤-6.6%, 盈利-5.4%)"
11,002843,泰嘉股份,2026-02-24,2026-03-05,9,20.65,25.39,800,16.5,3780.0,22.9,移动止盈,"ATR移动止盈 (最高28.99, 回撤-12.4%, 盈利22.9%)"
12,600522,中天科技,2026-02-10,2026-03-06,24,23.32,27.38,100,2.3,396.0,17.4,移动止盈,"ATR移动止盈 (最高30.20, 回撤-9.3%, 盈利17.4%)"
13,600346,恒力石化,2026-02-03,2026-03-09,34,24.08,22.51,400,9.6,-639.0,-6.5,移动止盈,"ATR移动止盈 (最高26.07, 回撤-13.7%, 盈利-6.5%)"
14,002272,川瑞股份,2026-02-10,2026-03-12,30,17.13,19.5,100,1.7,227.0,13.8,移动止盈,"ATR移动止盈 (最高21.07, 回撤-7.5%, 盈利13.8%)"
15,002648,卫星化学,2026-02-12,2026-03-16,32,22.82,27.01,1200,27.4,5010.0,18.3,移动止盈,"ATR移动止盈 (最高29.10, 回撤-7.2%, 盈利18.3%)"
16,000725,京东方A,2026-03-02,2026-03-17,15,4.44,4.18,500,2.2,-140.0,-5.9,移动止盈,"ATR移动止盈 (最高4.46, 回撤-6.3%, 盈利-5.9%)"
17,002138,顺络电子,2026-03-11,2026-03-18,7,39.65,37.25,100,4.0,-251.0,-6.1,信号卖出,强卖出 score=-25.4
18,002843,泰嘉股份,2026-03-10,2026-03-23,13,26.5,22.11,100,2.7,-449.0,-16.6,硬止损,"ATR硬止损 (-16.6%, ATR=1.69)"
19,002648,卫星化学,2026-03-24,2026-04-20,27,25.52,26.26,700,17.9,506.0,2.9,移动止盈,"ATR移动止盈 (最高30.29, 回撤-13.3%, 盈利2.9%)"
20,600346,恒力石化,2026-04-22,2026-04-27,5,24.53,20.76,100,2.5,-387.0,-15.4,硬止损,"ATR硬止损 (-15.4%, ATR=1.12)"
21,002272,川瑞股份,2026-04-20,2026-04-28,8,20.99,17.48,1100,23.1,-3874.0,-16.7,硬止损,"ATR硬止损 (-16.7%, ATR=1.20)"
22,600522,中天科技,2026-03-18,2026-05-15,58,26.16,40.99,500,13.1,7404.0,56.7,移动止盈,"ATR移动止盈 (最高44.10, 回撤-7.1%, 盈利56.7%)"
23,002843,泰嘉股份,2026-04-17,2026-05-15,28,24.84,26.16,1000,24.8,1305.0,5.3,移动止盈,"ATR移动止盈 (最高29.93, 回撤-12.6%, 盈利5.3%)"
24,002648,卫星化学,2026-04-29,2026-05-20,21,29.1,25.57,100,2.9,-363.0,-12.1,硬止损,"ATR硬止损 (-12.1%, ATR=1.32)"
25,600887,伊利股份,2026-04-30,2026-05-21,21,27.5,26.76,100,2.8,-84.0,-2.7,移动止盈,"ATR移动止盈 (最高28.06, 回撤-4.6%, 盈利-2.7%)"
26,002272,川瑞股份,2026-05-21,2026-05-27,6,24.56,21.03,700,17.2,-2483.0,-14.4,硬止损,"ATR硬止损 (-14.4%, ATR=1.40)"
27,000725,京东方A,2026-05-20,2026-05-29,9,4.29,5.11,7300,31.3,5966.0,19.1,移动止盈,"ATR移动止盈 (最高5.77, 回撤-11.4%, 盈利19.1%)"
28,002138,顺络电子,2026-05-14,2026-06-01,18,38.39,46.5,400,15.4,3232.0,21.1,移动止盈,"ATR移动止盈 (最高50.35, 回撤-7.6%, 盈利21.1%)"
